측정월,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
202101,강남구,0.03,0.014,0.6,0.004,33,22
202101,강남대로,0.036,0.012,0.9,0.004,40,21
202101,강동구,0.031,0.015,0.5,0.003,42,25
202101,강변북로,0.031,0.014,0.7,0.004,39,24
202101,강북구,0.024,0.016,0.5,0.004,43,21
202101,강서구,0.032,0.016,0.5,0.004,40,22
202101,공항대로,0.036,0.014,0.6,0.003,42,20
202101,관악구,0.036,0.013,0.6,0.004,33,17
202101,관악산,0.011,0.034,0.3,0.003,34,14
202101,광진구,0.025,0.012,0.6,0.002,34,21
202101,구로구,0.032,0.016,0.5,0.004,39,19
202101,궁동,0.029,0.014,0.5,0.003,37,21
202101,금천구,0.033,0.015,0.6,0.003,40,23
202101,남산,0.024,0.018,0.7,0.003,32,19
202101,노원구,0.03,0.017,0.7,0.004,41,25
202101,도봉구,0.024,0.019,0.5,0.002,32,20
202101,도산대로,0.037,0.011,0.8,0.004,43,22
202101,동대문구,0.034,0.015,0.6,0.004,34,21
202101,동작구,0.034,0.014,0.5,0.003,40,23
202101,동작대로,0.043,0.01,0.6,0.004,41,19
202101,마포구,0.035,0.012,0.6,0.003,33,20
202101,마포아트센터,0.032,0.018,0.7,0.005,37,20
202101,북한산,0.015,0.023,0.5,0.002,29,17
202101,서대문구,0.027,0.017,0.6,0.005,31,20
202101,서울숲,0.032,0.017,0.4,0.004,41,21
202101,서초구,0.032,0.015,0.4,0.004,40,20
202101,성동구,0.033,0.018,0.6,0.003,34,20
202101,성북구,0.032,0.013,0.7,0.004,37,19
202101,세곡,0.032,0.015,0.7,0.006,43,24
202101,송파구,0.034,0.015,0.6,0.004,33,19
202101,시흥대로,0.042,0.012,0.7,0.004,45,23
202101,신촌로,0.042,0.011,0.7,0.003,39,22
202101,양천구,0.035,0.013,0.6,0.004,41,22
202101,영등포구,0.032,0.013,0.7,0.003,35,20
